content,score,cleaned,label
"saldo penjualan saya belum masuk sudah seminggu, bagaimana ini pak? mohon dibantu",1,saldo penjualan masuk seminggu mohon dibantu,negatif
👍👍👍,4,,positif
bagus lengkap penjualannya,5,bagus lengkap penjualannya,positif
Jangan berharap barang cepat sampai kalo belanja lewat tokped. ekspedisi nya selalu dilempar dari 1 ekspedisi ke ekspedisi yang lain (handover) jadi makin lama di perjalanan 😅😅😅,1,berharap barang cepat kalo belanja tokped ekspedisi nya dilempar ekspedisi ekspedisi handover perjalanan,negatif
Baguss 👍,5,baguss,positif
Kecewa ama promo yg di batalkan klou kagk bisa di pakai ya udah ga usah di konfirmsi.. udah bayar baru di batalkan,4,kecewa ama promo yg batalkan klou kagk pakai ya udah ga konfirmsi udah bayar batalkan,positif
Ini Tokped kenapa dah.. Pesanan sudah sampai Tgl 25. Dicek di aplikasi lainnya juga sudah Delivered Tgl 25. Bisa-bisanya sampai Tgl 30 status di aplikasi masih dikirim terus. Padahal mau ajukan retur karena ada masalah sama produknya. Makin ke sini kok makin ke sana ya.,1,tokped dah pesanan tgl dicek aplikasi delivered tgl bisanya tgl status aplikasi dikirim ajukan retur produknya ya,negatif
Sy edit ulasan dari bintang 5 jd bintang 1. Kenapa pilihan menu yg banyak menjadi hilang? Hanya ada tampilan rekomendasi untuk sy? Sy harus log out dulu baru muncul menunya yg banyak itu,5,sy edit ulasan bintang jd bintang pilihan menu yg hilang tampilan rekomendasi sy sy log out muncul menunya yg,positif
"makin banyak yang baru, 1. pop up rekomendasi prodak setelah memasukan prodak yang ingin di beli muncul berkali kali akhirnya ga jadi beli. 2. teks putih di atas background putis saat membuka home toko yang dituju. 3. konten review prodak yang nge loop tanpa loading konten baru. 4. prodak yang di jual di tiap berubah jadi prodak yang direkomendasikan tokped dan irelevant dengan toko yang sedang di check. masa buka toko politron munculnya lemari dan samsung jual gerinda ryu.",3,pop up rekomendasi prodak memasukan prodak beli muncul berkali kali ga beli teks putih background putis membuka home toko dituju konten review prodak nge loop loading konten prodak jual berubah prodak direkomendasikan tokped irelevant toko check buka toko politron munculnya lemari samsung jual gerinda ryu,netral
good,5,good,positif
opsi track gojek udah ga ada filter area juga udah ga ada. masih bisa di selamatkan karna karna belum ada aplikasi pengganti,1,opsi track gojek udah ga filter area udah ga selamatkan karna karna aplikasi pengganti,negatif
oke,5,oke,positif
tambah ancur tokped ini,1,ancur tokped,negatif
"CS tidak merespon komplain, baik via aplikasi, wa, email, semua tidak direspon, uang pengembalian tidak cair, telp cs harapannya bisa ngobrol dengan cs, ternyata suara robot, dikembalikan lewat aplikasi, sedangan diaplikasi tidak direspon🥱🥱🥱",1,cs merespon komplain via aplikasi wa email direspon uang pengembalian cair telp cs harapannya ngobrol cs suara robot dikembalikan aplikasi sedangan diaplikasi direspon,negatif
"bagus cuma ada hal yg perlu di perbaiki ,misalkan toko2 yg sudah lama dan bagus ratingnya jangan sampai kehilangan akses ke akunnya,buatlah kebijakan yg memudahkan seller dalam berjualan ,sehingga kita sebagai pembeli ,saat chekout tidak di batalkan sistem krn seller di persulit ,pokoknya buatlah kebijakan yg semudah mudahnya bagi seller,agar pembeli tidak pindah ke toko lain.",4,bagus yg perbaiki toko yg bagus ratingnya kehilangan akses akunnya buatlah kebijakan yg memudahkan seller berjualan pembeli chekout batalkan sistem krn seller persulit pokoknya buatlah kebijakan yg semudah mudahnya seller pembeli pindah toko,positif
service propesional,5,service propesional,positif
banyak ngiklan njir,1,ngiklan njir,negatif
"di tokopedia selain pengiriman yang sangat lemot tapi status perjalanan paket yang tidak update, nggak kaya di shopee yang selalu update perjalan paketnya",1,tokopedia pengiriman lemot status perjalanan paket update nggak kaya shopee update perjalan paketnya,negatif
"pelit diskon, mending shopee",1,pelit diskon mending shopee,negatif
pelayanan mantap 👍,5,pelayanan mantap,positif
nice,5,nice,positif
Mau bangkrutkah Toped??,1,bangkrutkah toped,negatif
hay Tokopedia kembalikan aplikasi Tokopedia seller karna menurut kami sebagai penjual apk yang sekarang seller center yang kerjasama tiktok malah lebih ribet jangan sampai penjual di Tokopedia pada lari gara gara system nya yang gak jelas,1,hay tokopedia kembalikan aplikasi tokopedia seller karna penjual apk seller center kerjasama tiktok ribet penjual tokopedia lari gara gara system nya gak,negatif
saya sudah lewat dari pembatalan otomatis tapi system ga bekerja udah lewat 1 hari ga di balilin uang nya bnr2 parah sekelas brand besar tokopedia saya jafi kecewa,1,pembatalan otomatis system ga udah ga balilin uang nya bnr parah sekelas brand tokopedia jafi kecewa,negatif
semoga oke,5,semoga oke,positif
"Penganganannya amat sangat buruk. investigasi paket yg entah ada dimana posisi nya memakan waktu 10 hari. Biaya lain"" yg tidak jelas arah nya kemana jg memakan dn merugikan pembeli dn seller. Sngt tdk rekomendasi apk ini. Stop menggunakan si Ijo ini",1,penganganannya buruk investigasi paket yg dimana posisi nya memakan biaya yg arah nya kemana jg memakan dn merugikan pembeli dn seller sngt tdk rekomendasi apk stop si ijo,negatif
mntap,5,mntap,positif
terims ksh🙏bos aplknya 👍,5,terims ksh bos aplknya,positif
mau daftar jadi affliate server error terus,1,daftar affliate server error,negatif
mencoba bisnis onlyn,5,mencoba bisnis onlyn,positif
proses cepat,5,proses cepat,positif
"toko pedia bikin pusing pembeli kurir rekomadasi tokopedia banyak kurir sering di lempar kurir A dan B dan pengririman sangat lama sekali klau keluar kota dan pulau bisa lama kali , nanti klau terjadi apa2 komplain binggung , kebijakan aneh tokopedia menejemenya gimanah itu tokopedia belanja + kurir seharus nya di bikin mudah dong .... tolong di perhatikan dengan kebijakan aneh ini ,,, kasiha sama pembeli nya nanti klau terjadi apa2 mau komplen di kurir A atau B ...mumet...",5,toko pedia bikin pusing pembeli kurir rekomadasi tokopedia kurir lempar kurir a b pengririman klau kota pulau kali klau komplain binggung kebijakan aneh tokopedia menejemenya gimanah tokopedia belanja kurir seharus nya bikin mudah tolong perhatikan kebijakan aneh kasiha pembeli nya klau komplen kurir a b mumet,positif
"nyusahin verifikasi udah diikutin berkali2 tapi pas masuk aplikasi tetap ja ga bisa dan cari produk yang kita cari,ngabisin waktu belanja disini",1,nyusahin verifikasi udah diikutin berkali pas masuk aplikasi ja ga cari produk cari ngabisin belanja,negatif
sangat memuaskan,5,memuaskan,positif
"Sejak Gabung sama Tiktok,CS'nya ga guna skrng... mau komplain lama n ribet,ga ad solusi yg diselesaikan... ga kaya dlu waktu belum gabung,sistemnya bagus N CS'nya respon dengan cepat,skrng Respon'nya lemot...👎👎👎",1,gabung tiktok cs nya ga skrng komplain n ribet ga ad solusi yg diselesaikan ga kaya dlu gabung sistemnya bagus n cs nya respon cepat skrng respon nya lemot,negatif
"saking rumitnya aplikasi sampai ada kursus dan akademinya,harap dipersimple..hapus menu yg kurg dipakai dan tingkatkan pelayanan servis center chat bergambar biar jelas kelihan dengan di SS",5,saking rumitnya aplikasi kursus akademinya harap dipersimple hapus menu yg kurg dipakai tingkatkan pelayanan servis center chat bergambar biar kelihan ss,positif
banyak discount mantab,5,discount mantab,positif
makin ke mari makin parah. sistem error terus. cm disuruh tunggu ga ada solusi dan waktu penyelesaian. cs makin buruk. pantas mulai bnyk ditinggalkan.,1,mari parah sistem error cm disuruh tunggu ga solusi penyelesaian cs buruk bnyk ditinggalkan,negatif
enak belanja di toko pedia cepat murah dan aman,3,enak belanja toko pedia cepat murah aman,netral
"Sebagai penjual kecewa atas kebijakan system penyelesaian pesanan yg skrng, kenapa harus 7 hari kerja bagi penjual itu terlalu lama klu misalnya pembeli dengan terang2an dichat secara baik2 dan ternyata sengaja ngga klik selesai pesanan, mau ngga mau harus ikut system 7 hari. kurang berpihak ke penjual skrng Tokped cukup tau dan kecewa, klu kaya gini lama2 penjual bisa pindah ke aplikasi lain",1,penjual kecewa kebijakan system penyelesaian pesanan yg skrng kerja penjual klu pembeli terang an dichat sengaja ngga klik selesai pesanan ngga system berpihak penjual skrng tokped tau kecewa klu kaya gini penjual pindah aplikasi,negatif
🙏 aku kasih 1 bintang aja krn aplikasi ini tdk dpt membantu untuk pengiriman COD .,1,kasih bintang aja krn aplikasi tdk dpt membantu pengiriman cod,negatif
pengiriman bagus yang dulu kalau yang sekarang lebih ribet sejak pakai cara 4PL saya tidak puas atas cara mengiriman Tokopedia sekarang lebih lama paket tiba,2,pengiriman bagus ribet pakai pl puas mengiriman tokopedia paket,negatif
sekarang dari segi pengiriman suka lewat dari estimasi tgl.. kemungkinan d unistall aja lah,1,segi pengiriman suka estimasi tgl d unistall aja,negatif
"PENYAKIT TOKOPEDIA tolong dong kebiasaan ni Tokopedia kalo top up kartu elektronik, sebelum saya top up saya bisa update saldo(cek saldo), giliran pas udah top up dan transaksi berhasil, tiba-tiba banget gabisa update saldo alasannya inilah itulah, padahal sebelumnya bisa-bisa aja, saya sedang buru-buru ingin berangkat kerja, jangan sampai hanya karena masalah yang terus-menerus terjadi di aplikasi ini yang kunjung belum ada perubahan dari dulu bisa menyebabkan saya telat untuk masuk kerja!!",1,penyakit tokopedia tolong kebiasaan ni tokopedia kalo top up kartu elektronik top up update saldo cek saldo giliran pas udah top up transaksi berhasil banget gabisa update saldo alasannya aja buru buru berangkat kerja menerus aplikasi kunjung perubahan menyebabkan telat masuk kerja,negatif
"saya beri bintang 5 karena memang aplikasi ini layak dan sangat, bagus🙏🏻",5,bintang aplikasi layak bagus,positif
Kok gak bisa di install ya udh bbrapa kali downlod masi aja gk ada perubahan 👎👎👎👎👎👎👎👎👎👎👎👎👎👎,5,gak install ya udh bbrapa kali downlod masi aja gk perubahan,positif
Bagus ga bikin kecewa,5,bagus ga bikin kecewa,positif
hadeh kok sekarang kalau udah check out salah alamat harus ada pembatalan dari seller apalagi kalau toko nya gak aktif jadi lama,1,hadeh udah check out salah alamat pembatalan seller toko nya gak aktif,negatif
kasi bintang 2 dulu soalnya baru nyoba,2,kasi bintang nyoba,negatif
mantap,5,mantap,positif
respon lamban,1,respon lamban,negatif
KOCAKKK,1,kocakkk,negatif
"Sudah nggak asyik lagi topedia. Setelah update di playstore, malah nggak ada opsi/pilihan barang bekas. Selain cari untuk beli barang baru, saya juga nggak gengsi untuk beli barang bekas. Minta tolong kembalikan opsi pembelian barang bekas, saya pun yakin pasti juga banyak yang mencari untuk beli barang bekas dengan kondisi yang baik dan bagus pula. Tapi kalau emang nggak dikembalikan lagi opsi pembelian barang bekas, terpaksa saya uninstall nih apps tokopedia, mending beralih ke apps yang lain",1,nggak asyik topedia update playstore nggak opsi pilihan barang bekas cari beli barang nggak gengsi beli barang bekas tolong kembalikan opsi pembelian barang bekas mencari beli barang bekas kondisi bagus emang nggak dikembalikan opsi pembelian barang bekas terpaksa uninstall nih apps tokopedia mending beralih apps,negatif
ok,5,ok,positif
"sudah lewat tanggal pembatalan otomatis tetapi status masih dalam proses banyak bug juga, serta banyak toko fiktif ikut kampanye diskon bikin rugi waktu tolong lebih di perketat atau di cek tiap toko yg menjual barang yg sekiranya mencurigakan atau nyomot gambar dari gambar toko yg sudah ada",1,tanggal pembatalan otomatis status proses bug toko fiktif kampanye diskon bikin rugi tolong perketat cek toko yg menjual barang yg mencurigakan nyomot gambar gambar toko yg,negatif
"Tokped apa bagusnya,beritanya bnyk customer yg ngeluh udh di tipu sm seller nakal tp bnyk juga seller yg merasa terganggu sm customer penipu yg modus dngn memakai banyak akun yg tidak bisa di blokir.",1,tokped bagusnya beritanya bnyk customer yg ngeluh udh tipu sm seller nakal tp bnyk seller yg terganggu sm customer penipu yg modus dngn memakai akun yg blokir,negatif
"benerin bug di fitur cari transaksi tiap mau cari riwayat transaksi gak muncul terus riwayat transaksi yang di cari nya, dari kapan coba ini bug nya ada terus bukannya di benerin, udah dicoba di aplikasi atau di web tetep aja nge bug fitur cari transaksi nya",1,benerin bug fitur cari transaksi cari riwayat transaksi gak muncul riwayat transaksi cari nya coba bug nya benerin udah dicoba aplikasi web tetep aja nge bug fitur cari transaksi nya,negatif
HEBAT. SANGAT MENGAGUMKAN DAN SUKSES DALAM PROSES PROGRAM TUPOKSINYA MENGEMBANGKAN USAHA.,5,hebat mengagumkan sukses proses program tupoksinya mengembangkan usaha,positif
"saya kasih bintang satu, karna orderan sudah jatuh tempo tapi masih aja belum di cancel sama sistem, harus nunggu approve dari seller, sedangkan seller gada kabar sama sekali, status orderan masih aja di proses, ga lagi lagi deh belanja di tokped ribet,",1,kasih bintang karna orderan jatuh tempo aja cancel sistem nunggu approve seller seller gada kabar status orderan aja proses ga deh belanja tokped ribet,negatif
bagus... GX mengecewakan,5,bagus gx mengecewakan,positif
good,5,good,positif
"SANGAT TIDAK REKOMEN UNTUK SEKARANG, MENDING KE TOKO OREN. PESEN SAMEDAY UDAH PASTI 3 HARI BARU SAMPAI. SISTEM KOK MAKIN AMATIRAN",1,rekomen mending toko oren pesen sameday udah sistem amatiran,negatif
"Saya paket hp Lenovo k5 play, OS 8 knp TDK bisa install Tokopedia, shopee?",1,paket hp lenovo k play os knp tdk install tokopedia shopee,negatif
lagi belanja,5,belanja,positif
smoga tetap amanah memegang keprcayaan konsumen dengan produk dan harga yang terjangkau dan kebijakn kemitmen waktu pengiriman tepat pada tujuan pembeli..,5,smoga amanah memegang keprcayaan konsumen produk harga terjangkau kebijakn kemitmen pengiriman tujuan pembeli,positif
mantap,5,mantap,positif
memang benar2 bagus.belanja online disini .oke 👍,5,bagus belanja online oke,positif
koneksi wifi bagus tapi di aplikasi tidak ada koneksi internet🤕🤕🥺😭,1,koneksi wifi bagus aplikasi koneksi internet,negatif
kode posnya isi dimana tokopedia.,1,kode posnya isi dimana tokopedia,negatif
inn sya allah bisa maju...,5,inn sya allah maju,positif
oke,5,oke,positif
mantap,5,mantap,positif
"sumpah demi apa di persulit banget mau ganti nomor hp yg udh ga aktif, gopay juga subhanallah di persulit juga, malah harus verikasi ke nomor lama aneh banget, giliran mau chat ke CSF ga bisa bisa ga gercep kesel banget dongkol pengen banget nge maki maki, pas di liat review orang banyak yg bintang satu bulan JULI ini kenapa si tokped padahal klo mau beli barang elektronik lebih percaya di sini, tp untuk sekarang jd nya males, dan pindah lgi ke HOPEEEEEE JAYA JAYA JAYAA",5,sumpah persulit banget ganti nomor hp yg udh ga aktif gopay subhanallah persulit verikasi nomor aneh banget giliran chat csf ga ga gercep kesel banget dongkol pengen banget nge maki maki pas liat review orang yg bintang juli si tokped klo beli barang elektronik percaya tp jd nya males pindah lgi hopeeeeee jaya jaya jayaa,positif
mantap tokopedia joosss,5,mantap tokopedia joosss,positif
bagus,5,bagus,positif
makin kesini makin kesana sistem pengiriman baru yang sangat mengecewakan,1,kesini kesana sistem pengiriman mengecewakan,negatif
"kadang cepet..kadang lama. mgkn faktor internetnya ya. Sejauh ini seeh bagus. Cm bingung saja kl utk komplain"". Prnh sekali komplain ke penjual..sulit sekali utk kirim foto dan videonya. Selalu error. Akhirnya aq rugi. Itu waktu aq awal"" pake tokped. Semoga g terulang lagi.",5,kadang cepet kadang mgkn faktor internetnya ya seeh bagus cm bingung kl utk komplain prnh komplain penjual sulit utk kirim foto videonya error aq rugi aq pake tokped semoga g terulang,positif
sya kasih ulasan ulang tpi anehnya pihak tokopedia sekarang2 ini para tokonya yg ngelakuin pelanggaran masih saja tetep aman. nih saya kasih tau nama toko: 1. Renwick Mtr 2. Inerka Spare Part Kings yang pertama sya sudah ketipu dengan jual 3 barang yang dikirim 1 barang yang kedua untungnya belum ketipu tpi sama dengan beli 3 barang dikirim cuman 2. karna sya sudah ngalamin seperti yg pertama. tpi klo mislkan paketan yg nerima org lain tetep sama ketipu juga. 2 toko itu harusnya dislidiki.,1,sya kasih ulasan ulang tpi anehnya tokopedia tokonya yg ngelakuin pelanggaran tetep aman nih kasih tau nama toko renwick mtr inerka spare part kings sya ketipu jual barang dikirim barang untungnya ketipu tpi beli barang dikirim cuman karna sya ngalamin yg tpi klo mislkan paketan yg nerima org tetep ketipu toko dislidiki,negatif
hebat,5,hebat,positif
mantabb,5,mantabb,positif
"mudah penggunaan aplikasinya dan byk fitur""nya",5,mudah penggunaan aplikasinya byk fitur nya,positif
sip ok,3,sip ok,netral
"sepertinya kegunaan button""tidak ingin melihat produk serupa"" hanya untuk pajangan saja, karena tidak ada berpengaruh apapun pada tampilan feed.",1,kegunaan button produk pajangan berpengaruh apapun tampilan feed,negatif
"komplenan bisa berhari hari,sangat merugikan konsumen.seller banyak yg brengsek,cs ga ada bedanya.mending SHOPEE",1,komplenan berhari merugikan konsumen seller yg brengsek cs ga bedanya mending shopee,negatif
barang telat tau² tiba tiba di batalin,1,barang telat tau batalin,negatif
sangat membantu,5,membantu,positif
nice promo,5,nice promo,positif
aplikassi bagus untuk jual bbellli.. baanyak diskon. sayang masign ada jebakan betmen dari seller,4,aplikassi bagus jual bbellli baanyak diskon sayang masign jebakan betmen seller,positif
mantap,5,mantap,positif
"ini tokped ada apa ya,,,status pelacakan paket saya udh 3 hari gk ada perubahan mash disitu"" aja,,,,tlong diperbaiki pelayanannya 🙏🙏",4,tokped ya status pelacakan paket udh gk perubahan mash disitu aja tlong diperbaiki pelayanannya,positif
"Tampilan dark mode pada chat tidak aktif seperti sebelum update, tolong segera diperbaiki agar tidak mengganggu.",3,tampilan dark mode chat aktif update tolong diperbaiki mengganggu,netral
mantafff,5,mantafff,positif
"Ongkir mahal, gratis ongkir kecil. Makin tenggelam MP satu ini😌",1,ongkir mahal gratis ongkir tenggelam mp,negatif
trbaik,5,trbaik,positif
ok,5,ok,positif
"mudah, membantu sekali",5,mudah membantu,positif
semakin aneh untuk promo² nya apa lagi untuk pengguna baru ga ada promo yg menarik,1,aneh promo nya pengguna ga promo yg menarik,negatif
terlalu ribet,4,ribet,positif
"baru pertama kali menggunakan TOKOPEDIA tapi agak kecewa, pesan barang tgl:23-07-2025 tapi sekarang seh tgl:29-07-2025 ga tau ntah di mana keberadaan paket saya, di cek resinya ga bisa, pemberitahuannya jg sampai tgl:24 doang habis itu ga ada lagi info paketnya, coba lah ikuti sperti shopee tiap hari update posisi paket kita, jadi lbh nyaman dan aman perasaan, kalau gini kan jadi kecewa, apakah paket itu bebar2 dikirim atau tdk? resi paket ada tapi ga bisa di lacak, lucu ini tokopedia.",2,kali tokopedia kecewa pesan barang tgl seh tgl ga tau ntah keberadaan paket cek resinya ga pemberitahuannya jg tgl doang habis ga info paketnya coba ikuti sperti shopee update posisi paket lbh nyaman aman perasaan gini kecewa paket bebar dikirim tdk resi paket ga lacak lucu tokopedia,negatif
mantap,5,mantap,positif
mantull,5,mantull,positif
"APLIKASI SAMPAH, SUDAH LEBIH 3HARI BARANG MASIH DIPROSES BELUM DIKIRIM, PENJUAL DI CHAT TIDAK MERESPON, KETIKA MENGADUKAN KELUHAN KE CUSTOMER SERVICE JAWABAN TIDAK MEMUASKAN, BUANG-BUANG WAKTU NUNGGU BARANG PADAHAL UANG SUDAH DIBAYARKAN 👎",1,aplikasi sampah barang diproses dikirim penjual chat merespon mengadukan keluhan customer service memuaskan buang buang nunggu barang uang dibayarkan,negatif
oke,5,oke,positif
mundah dan cepat,5,mundah cepat,positif
kereeen,5,kereeen,positif
bagus banget,3,bagus banget,netral
transaksi saya ada yang bermasalah saya sudah chat ke bantuan tapi tidam d respon... penjual stok kosong tapi tidak cancel pembelian... dan transaksi saya sudah proses aja selama 3 hari... tolong lah respon nya,1,transaksi bermasalah chat bantuan tidam d respon penjual stok kosong cancel pembelian transaksi proses aja tolong respon nya,negatif
saya minta ke pada Tokopedia jgn pernah gunakan kurir JNE itu merugikan pembeli masa saya mau ambil paket harus ada KTP dulu itu KTP kan data pribadi saya JNE udah Kya pinjol aja minta KTP saya minta nih kepada Tokopedia jgn gunakan JNE lagi,5,tokopedia jgn kurir jne merugikan pembeli ambil paket ktp ktp data pribadi jne udah kya pinjol aja ktp nih tokopedia jgn jne,positif
"RUGIII abis kena tipu penjual di tokped,. nama toko nya ""bin ali"",. ko bisa tokped lolosin akun penjual yg gak bertanggung jawab itu,. ini bukan masalah nominal uang tapi tanggung jawab nya sebagai pihak ke 3 yg tidak bertanggung jawab,. malah menerusakan dana ke penjual, padahal saya sudah memberikan data yg komplit & akurat...",1,rugiii abis kena tipu penjual tokped nama toko nya bin ali ko tokped lolosin akun penjual yg gak bertanggung nominal uang tanggung nya yg bertanggung menerusakan dana penjual data yg komplit akurat,negatif
sanget mudah sekali belanja disini,5,sanget mudah belanja,positif
puas,4,puas,positif
"verry bad app. catatan penting, terlalu banyak barang palsu terutama sepatu. banyak penjual yang tidak bertanggung jawab dan pihak pengelola aplikasi tidak menerapkan aturan yang tegas. saya selaku pembeli selalu merasa khawatir ketika berbelanja karena sangat besar peluang mendapatkan barang yang tidak asli/original. Aplikator perlu menyediakan bagian khusus yang mengawasi setiap barang yang dijual sellers. Toko yang terverifikasi juga tidak semuanya menjual barang yang kita butuhkan.",1,verry bad app catatan barang palsu sepatu penjual bertanggung pengelola aplikasi menerapkan aturan pembeli khawatir berbelanja peluang barang asli original aplikator menyediakan khusus mengawasi barang dijual sellers toko terverifikasi menjual barang butuhkan,negatif
"kirim sameday 1 hari ga sampe. aplikasi tidak responsip, status pengiriman tidak update ga ada informasi barang wasalam.",1,kirim sameday ga sampe aplikasi responsip status pengiriman update ga informasi barang wasalam,negatif
cs bales cheat ya lama hampir 1 jam,1,cs bales cheat ya jam,negatif
"saya sangat kecewa Tokopedia meloloskan toko toko penipu bercentang ungu official, saya menemui banyak toko official (penipu) yang menjual suplemen kesehatan, kepercayaan saya beli di toko official turun, mohon segera di tindak lanjuti agar toko official yang lain tidak terkena imbasnya. karena saya mengira semua toko official sudah memenuhi kriteria Tokopedia, jadi saya berpikir tidak ada penipuan",2,kecewa tokopedia meloloskan toko toko penipu bercentang ungu official menemui toko official penipu menjual suplemen kesehatan kepercayaan beli toko official turun mohon tindak lanjuti toko official terkena imbasnya toko official memenuhi kriteria tokopedia berpikir penipuan,negatif
baik,3,,netral
update terbaru tidak muncul,1,update terbaru muncul,negatif
maaf blm.biasa sprti.ni,5,maaf blm sprti ni,positif
"now we have entered the era of AI AGI and AI ASI. I hope Tokopedia continues to improve and increase its capabilities to become a Super AI, a super AI that can do anything that exceeds humans, an AI that can improve and repair itself, an AI that can analyze and structure documents accurately and in detail to make training on itself or the output that will be produced, an AI that can be fully integrated into the entire system, an AI that can be fully integrated into humanoid robots.",5,now we have entered the era of ai agi and ai asi i hope tokopedia continues to improve and increase its capabilities to become a super ai a super ai that can do anything that exceeds humans an ai that can improve and repair itself an ai that can analyze and structure documents accurately and in detail to make training on itself or the output that will be produced an ai that can be fully integrated into the entire system an ai that can be fully integrated into humanoid robots,positif
pengiriman lewat estimasi,3,pengiriman estimasi,netral
jossss,4,jossss,positif
"setelah update fitur filter nya error, tolong diperbaiki",3,update fitur filter nya error tolong diperbaiki,netral
"Baru banget tadi dapet pengalaman yang agak nyebelin, jadi aku pesen barang intinya, terus ditelepon kurir katanya pembayaranku kurang dan aku disuruh tf kalau pesenannya mau dianter mana nada kurirnya kaya agak marah-marah gitu aku juga kurang suka di telpon"", sementara di tokped pesenanku tertulis dibatalkan penjual dan saldoku udah balik sih, jadi tokpednya bagus tapi kurirnya ada yg nyebelin kalau udah dibatalin penjual ya ngapain dianter kocak, bikin ribet",5,banget dapet pengalaman nyebelin pesen barang intinya ditelepon kurir pembayaranku disuruh tf pesenannya dianter nada kurirnya kaya marah marah gitu suka telpon tokped pesenanku tertulis dibatalkan penjual saldoku udah sih tokpednya bagus kurirnya yg nyebelin udah dibatalin penjual ya ngapain dianter kocak bikin ribet,positif
"aneh gratis gratis ongkir itu hanya omon omon, selalu ada ongkir dan mahal mahal melebihi harga yg dibeli itu ternyata cari untung darisitu mereka.. pencarian barang sulit terdeteksi",1,aneh gratis gratis ongkir omon omon ongkir mahal mahal melebihi harga yg dibeli cari untung darisitu pencarian barang sulit terdeteksi,negatif
"Dengan adanya tokopedia dapat membantu saya untuk belanja yang tidak dapat saya temui di tempat saya,. Serta saya juga dapat membantu sanak keluarga yang tak ada waktu untuk pergi berbelanja d toko, Terima kasih tokopedia",5,tokopedia membantu belanja temui membantu sanak keluarga pergi berbelanja d toko terima kasih tokopedia,positif
tolong acc tokopedia card saya donk uda seminggu ga ada kejelasan masih di proses terus keterangannya,5,tolong acc tokopedia card donk uda seminggu ga kejelasan proses keterangannya,positif
Terima kasih sangat membantu kebutuhan saya.,5,terima kasih membantu kebutuhan,positif
admin nya gede banget ni tokped bisa 40% gila seller bisa kewalahan bisa kabur ga akan pake tokped lagi huhu jual apa aja kepotong nya gede bgt woii tolong lah,1,admin nya gede banget ni tokped gila seller kewalahan kabur ga pake tokped huhu jual aja kepotong nya gede bgt woii tolong,negatif
"Sudah 7 tahun kurang lebih saya ngga geser dari aplikasi Online Tokopedia ini.. Tokopedia Rapih, dipantau admin, dan mudah akses aplikasi.. 1 tolong untuk Ruang Komplain untuk Retur dll, masih susah untuk upload foto-foto bukti kita, soalnya saya upload bukti Komplain di aplikasi, keluar lagi keluar lagi.. jadi harus ulang beberapa kali, baru bisa jalan Uploadan nya.... Seluruh Keseluruhan sudah Oke... Terima kasih....",5,ngga geser aplikasi online tokopedia tokopedia rapih dipantau admin mudah akses aplikasi tolong ruang komplain retur dll susah upload foto foto bukti upload bukti komplain aplikasi ulang kali jalan uploadan nya oke terima kasih,positif
masih belum sempurna aplikasinya. beberapa pesanan sudah sampai tapi sudah lebih dari 2 hari status pengiriman tidak berubah jadi buyer tidak bisa konfirmasi penerimaan.,4,sempurna aplikasinya pesanan status pengiriman berubah buyer konfirmasi penerimaan,positif
"Nih aplikasi Gangguan Mulu aneh. gak bisa cekout, bikin emosi aja nih aplikasi ampas",1,nih aplikasi gangguan mulu aneh gak cekout bikin emosi aja nih aplikasi ampas,negatif
Tokopedia makin berat.. biaya admin makin besar. pantes kalian makin ditinggalkan. jual hp 10jt admin 500rb. terlalu sampah.,1,tokopedia berat biaya admin pantes ditinggalkan jual hp jt admin rb sampah,negatif
Aplikasi ini banyak trobelnya,1,aplikasi trobelnya,negatif
"Selamat pagi, Untuk admin tolong di perjelas rincian tagihan bulanan dalam setiap pembelian bukan hanya tanggal transaksi saja yg muncul pada rincian tagihan supaya memperjelas. terimakasih",3,selamat pagi admin tolong perjelas rincian tagihan bulanan pembelian tanggal transaksi yg muncul rincian tagihan memperjelas terimakasih,netral
"semenjak ada tokped seller x tiktod jadi ampas gabisa jual barang ribet, kalo ada bintang 0 gw kasih bintang 0",1,semenjak tokped seller x tiktod ampas gabisa jual barang ribet kalo bintang gw kasih bintang,negatif
tolong dipantau pembelian saya dengan ceria kenapa gak bisa ya ??? hampir semua barang yg saya mau beli tidak bisa bayar melalui BRICERIA kenapa ya ???,5,tolong dipantau pembelian ceria gak ya barang yg beli bayar briceria ya,positif
"ada perubahan promo yang kamu pakai, lama lama aneh ini aplikasi",1,perubahan promo pakai aneh aplikasi,negatif
mau kirim gambar aja gagal terus,1,kirim gambar aja gagal,negatif
toko pedia skrg payah mau bayar pake dana aja susah eror terus jd malas mau belanja disini,1,toko pedia skrg payah bayar pake dana aja susah eror jd malas belanja,negatif
"Gak tahu mau bilang apa, pokoknya the best lah😁👍",5,gak bilang pokoknya the best,positif
"buruk, ga ada budget kah buat gaji cs manusia dan cuma ada chatbot cs yang jawabannya template dan ga membantu?",1,buruk ga budget kah gaji cs manusia chatbot cs jawabannya template ga membantu,negatif
bagus sekali. transaksi mudah,4,bagus transaksi mudah,positif
Aplikasi GIL4 saya chek out dari tanggal 21 smpai tanggal 29 belum sampai² ini gimana ceritanya padahal saya butuh barangnya segera,1,aplikasi gil chek out tanggal smpai tanggal gimana ceritanya butuh barangnya,negatif
