content,score
agak nyebelin juga sih kalau lagi lacak paket tapi gak bisa lihat masih ada dimana paketnya kayak di shopee😮‍💨,2
"seller di tokopedia sangat sangat slow respon, dan mengapa jika barang sold masih bisa di cekout, saya cekout suatu barang, tetapi di esok harinya seller bilang ""barang sold"" padahal saya sudah tanya ""apakah barang ini ready"" tetapi tidak di jawab sama sekali, saya minta tolong agar barang yang sold itu tidak bisa di cekout/di beri pemberitahuan langsung bahwa barang sold, dengan fitur ini akan mempersingkat waktu pembelian suatu barang, jadi pembeli bisa mencari barang di seller yang lain",1
baik,4
"2 x aku gagal ubah pesenan brg tau tau dikirim,mantaplah,aku tutup aja akun tokpednya, joss",1
good good good verygood,5
hapus aja mah gak berguna sama sekali sejak gabung toktok,1
"aplikasi paling banyak sering minta update, di antara e-commece yang lain. kalau belum bener mutlang dan tidak ada perubahan yang sangat signifikan ngga usah di launch dulu. ngambisin memory user aja. hari ini gua unistal pindah ke toko orange. thank u",1
jangan mau download Tokopedia ini pengiriman nya lama sekali 2 Minggu lebih padahal kalo Shopee cepat seminggu udah datang,1
aplikasinya bagus menarik fitur nya lengkap 🥰,5
"aplikasi korup, dana tidak diteruskan, cs ribet cuma dijawab pakai robot",1
okee sekali,5
tolong perbaiki pencariannya.. saya ngetik jelas nama produk apapun selalu produk gak ditemukan..,1
"nyari barang tidak ditemukan terus, kayak gak keurus servernya",1
saya sangat kecewa dengan apk marketplace ini pengajuan kompalin tidak ada kejelasan,1
"Fitur pencarian error melulu, padahal biasanya nyari 12/256 langsung muncul hasil pencarian, tapi sekarang disuruh cari kata kunci lain.. Makin lama makin payah tokped",1
aplikasi Gilak. aku belik ikan hias 55rb ongkos kirim nya 175 RB paok ini aplikasi,1
layanan terbaik,5
"mau search sepatu futsal tapi kata kunci tidak ditemukan apa coba, mau search aja di persulit pdhl kata kunci simple",3
mantap,4
good,5
"barang yang dicari semuanya tidak terdaftar, buruk",2
"kenapa pembatalan pesanan di persulit padahal belum di proses dan dikirim oleh penjual, kalo di Shopee mudah proses pembatalanya",1
Susah ribet banget mau upload produk harus pake tiktok Shop.,1
"halo tokped mau ngomong pliss iklannya di tiktok dihapus,karena ganggu",5
Manrtap,5
"sudah 3 bulan ini, estimasi barang tokopedia tidak sesuai saat sebelum pemesanan. saat akan membayar durasi pengiriman cuma 1 minggu, setelah pembayaran durasi estimasi tiba barangnya berubah jadi 15 hari keatas. dan 3x pembelian terakhir, durasi barang tiba 10 hari keatas. terlalu lama",1
kenapa sih ya sy sampe kebobolan kedeua kali nya...mohon di kembalikan uang sy secepatnya Krn sy tidak merasa ngisi pulsa pake no itu,1
bagusss,5
murah² tapi lama sampe nya est 11 sampe tangal 15-16,3
sangat mudah dan cepat,5
"bang gk bisa tambah foto direview tolong dicek import fotonya, device galaxy s10",1
Ok sangat membantu,5
satset mantappp,5
"hapus aja pengiriman pakai expedisi siCepatt,,sangat mengecewakan kalau sudah yang ngirim pakai itu",3
"pesen barang d toped 5 hari ga dateng2,d olshop lain paling lambat 3 hari,app blanja online kok ikut libur panjang.apa gunanya jadi olshop,klo libur panjang ikutan libu?",1
"aplikasi sudah bagua, tetapi untuk menandai alamat rumah ku yg masuk ke dalam gg sangat buruk👎👎👎👎👎👎",2
baik,5
"senang blanja menggunakan paylater di toped, byk bonusx",5
Sangat di sayang kang baru kali ini saya beli barang di Tokopedia. tidak sesuai dengan deskripsi. ada penjual yang Nakal disini Orang beli tv. paket yang di pelastik kosong. saya coba inbox penjual masa dia bilang maaf KA ke salah an orang gudang saya. tolong pesan di konfermasih Ka biar uang saya balik di TF aja iku kata penjual. saya kan tau kalo di selesaikan pesan iya sama aja saya beli sampah pelastik kosong. Sangat di Kecewe kan Tokopedia,1
banyak seller penipu dan terkesan dibiarkan oleh tokped,1
"2 transaksi status gak jelas /belum sampai tujuan, CS muter² berminggu2 ( sy bayar pakai uang bukan pakai daun)!!, ngeri klu transaksi lagi di tokopedia !",1
"Kemarin saya mengajukan komplain karena penjual mengirimkan barang yang tidak sesuai dengan gambar. Dan tokopedia menyetujui komplainan saya, yang saya sayangkan untuk pengembalian barang ke penjual ongkir ditanggung pengirim alias saya sendiri dimana ongkos kirimnya lebih mahal daripada barang yang saya beli. Ya tentu akhirnya komplain saya batalkan dengan menerima barang yang salah. Lebih enak pelayanan di toko orenq",1
"di ghosting reseller,preorder 30 hari transaksi di proses setelah jatuh tempo di batalin sistem,karena melebihi batas waktu pengiriman pesanan.setelah gw chat penjual katanya salah input harga.SANGAT WOW SEKALI....",1
keren,5
"ongkir nya mahal banget sekarang , toko sebelah ongkir nya masih gratis",1
mantap,5
suka berbelanja di tokopedia,5
aplikasi ini sangat membantu kita untuk mencari barang yang kita carii,5
"kalah jauh dengan aplikasi orens,.. GK bisa COD produk sama harga beda jauh dgn aplikasi sbelah...",3
"Saya senang bisa belanja on line di tokopedia, tapi belum tahu cara menambah saldo tokopedia (memudahkan bayar) belanja. terimakasih sebelumnya. . . . . . 🙏",5
baik,5
"keranjang kalau penuh otomatis hilang, gak kayak dulu yang dapat notif kalau keranjang penuh.",1
terbaik no oem no odm club...,5
jarang ada diskon belanja tp sekalinya ada malah ga ngotak (diskon nya gede polll),5
"tokomonyet gangguan di rumah monyet mulu, pantesan sepi pengiriman lelet",1
bagus banyaj diskon,5
ihhhh enggak,5
Alhamdulillah selalu memani belanja online,5
mantap,5
gopaylater nya kenapa sekarang gabisa pakai yang tenor 6 bulan dan 12 bulan yah ?,1
mantap,5
bagus terpercaya,5
saya rekomendasikan ke kalian semua untuk pakai jasa ekspedisi SAPX Express pengirimannya cepat dan drivernya amanah.,5
oke,5
sangat membantu,5
klo bisa pengirimannya COD cepat dong. mohon ditingkatkan lgi. kurang lengkap juga barang barangnya,5
terimakasih,5
"mahal ya, padahal ada potongan vocer, tapi harga sama kaya harga pasaran aslinya. sory ya tak uninstal",1
respon cepat dan bagus,5
"lu improvement donk kayak Shopee hari ini order besok dah sampai cepat sekali pengiriman , ini lama sekali Toped ini expedisi ya bikin males belanja aja",1
tokped makin kesini makin ga jelas pesen barang dah 3 hari ga gerak2 masih di proses aja cukup terakhir dah beli dsni,1
semoga sukses selalu,5
"dapat paylater dibawah sejuta, tapi ga bisa digunakan dan tidak ada cicilan",5
tokopedia asik banyak promonya..tapi ga semua toko bisa bayar COD..jadi aga males belanja di sini,1
Apk banyak penipu sulit pengembalian call costomer service tidak berguna,1
belanja ribet ongkir kaga ngotak kocak,1
oke,5
"chat promosi muncul terus, tidak bisa di hapus, tidak bisa di setting. padahal ada pilihan settingnya, di klik ga berubah, payah",1
mudah dan cepat,5
force close,2
"saya beli di seller tokped ko yg dikirim sampah ya, saya ajukan komplain di tokped nya langsung lambat bgt penanganan nya, tokped harus nya bisa seleksi seller seller nakal kaya gitu",1
"harga produk murah ongkirnya ngawur, fix mending stop belanja online mending belanja ke warung! Ini aplikasi ke dua yang bakal tumbang, layaknya bukalapak!",1
sangat baik,5
2 dlu nanti dib tambah klo sesuai,2
"beli barang suruh lewat web browser, setelah itu dialihkan verifikasi usia harus download apk, trus tokonya di aplikasi dibanned,,, mau kalian apa sih? mbulet",1
"makin tidak lengkap, seller2 banyak yg hengkang, nasibnya akan sama sprti bukalapak",1
sangat menarik,3
Mahal mahal ongkir nya g ngotak Jarang gratis ongkir Ada gratis ongkir namun harga mahal Sama aja bohong...(total nya sama aja gratis ongkir dg g gratis ongkir) Ijo makin terpuruk sama oren,1
setiap belanja pakai instan suka susah dapet driver ini yg msalah tokpednya atau drivernya,1
aplikasi bagus,5
good,5
pengajuan pembatalan pesanan kenapa dibebankan ke pembeli smua alasannya?? padahal penjual jg bisa yg salah... misal uda order pakai sameday estimasi esok jm sekian tp status msh di proses mulu n penjual d chat jg gk aktf/no respon... n msh nunggu konfrm dr seller pula jlas ada kesalahan di seller n nunggu 2 har pula,1
mantap,5
good,5
best pokonya,5
okkkkk semoga sukses selalu,5
"sekarang tokped performanya ga bagus kayak dulu, jelek banget, toko harus upgrade, mau belanja di tokped pakai instan gabisa cek tracking nya kayak dulu lagi, padahal sebelum nya pake tokped enak enak aja, sekarang malah aneh gini, mau lacak pemesanan aja udah gabisa, payah banget malah jadi susah",1
is de bes😁,5
cepat dan tepat,5
"tokopedia memang bagus.... tp tolong untuk menjual ""apapun"" kepada kami ""bisa"" dan mudah.....",5
Sejak join sama tik tok. Makin ancuur aja tokopedia. Sudah lama pindah ke shopee...,1
"knp belakangan ini banyak seller di tokped banyak yg tutup, toko sedang upgrade lah, toko libur lah, ga ky dulu barang yg udh di whistlist jadi ga bisa kebeli karna tiba² berubah toko sedang upgrade, toko libur",1
bagus daripada si merah yang jelek itu,5
bagus,5
"Proses tarik saldo Tokopedia dari refund bertele-tele, saya harus nunggu 2×24 jam cuma untuk narik uang saya sendiri. Sedangkan, uang itu akan saya gunakan untuk order barang yang sama di toko lain. tapi saya harus menunggu selama itu. Terus apa gunanya diminta OTP kalau masih harus menunggu sampai 2 hari untuk narik uang sendiri?",2
tokopedia makin ke sini kok makin jelek ya. masa proses pembatalan pesanan instan nunggu proses yang bertele tele. so far bad.👎,1
Menu top up kok hilang?,5
👍,5
sering error saat mau cekout. voucher pun hilang tidak bisa dipakai lagi,1
"Parah banget,saya jualan harga di diskon tokped...tapi cairnya seharga diskonan yg tokped.. udah tau modalnya segitu..bukan nya untung..capedeh.",1
dear tokped tolong dong klo customer udh cancel barang selang dri semenit pembayaran harusnya di permidah gk langusng balik dananya ini di persulit bgt gk kek shopee.,1
aplikasi ini memuaskan pelanggan,5
Mana uang hak saya sebagai penjual yang kalian makan!!,1
ini kenapa sih kok pas mau cek out eror mulu udah dari sebulan lalu loh sampe skrng ga bisa bisa. nanti kalo udah bisa baru ganti b5,1
mntap,5
baik,5
enak blanja Di Shoope atau Lazada.. kalau di Tokopedia ada yg aneh... contohnya Promo bebas orkir.. Fakta-ya barang Sama Orkir mahalan Orkir-ya-!!!!,1
ok,5
banyak produknya,5
bagus,5
ditunggu promo menarik selanjutnya,4
baru kali ni belanja di tokopedia barangnya muter muter di jakarta padahal bandung jakarta gak jauh amat,1
promo harga murah berkualitas,5
tolong lah seler-seler penipuan itu banyak di toko ini kalok gitu teros pasti kala dengan toko oren,1
tokopedia makin lama makin aneh.upgrade malah makin susah. problemnya terlalu banyak.makin banyak aplikasi.pembeli sendiri.buat jualan sendiri.malah bikin susah pengguna. gak apa2 penjual sudah dipotong hasil penjualannya. masalahnya itu ribet parah.gak seperti awal2. sebagai penjual sampai males update barang. otomatis malas juga beli lewat tokopedia,1
"return barang prosesnya berbelit2,,gk ada tindak lanjutnya dari pihak tokopedia seminggu return barang dana nya belum jg masuk,, kecewa jadi males belanja disini",5
👍👍👍,5
Aplikasi sangat bagus,5
"top up emoney, berhasil bayar tapi saldo ga masuk. bikin laporan sudah 8hr masih Dalam Proses, tidak ada pergerakan. BAD BANGET UNTUK PELAYANANNYA. KECEWA BANGET SAMA TOKOPEDIA!!!!! ga ada respon sama sekali padahal sering di fu.",1
aplikasi monyett,1
the best ..puas belanja disini dibanding e-commerce lain ..harga murah apalagi ada tokped card ♥️,5
bagus aplikasi nya dan daftar nya jga mudah,5
"Saya retur barang dengan pickup ke lokasi, tapi kurir tidak kunjung datang hinggah produk tidak bisa di retur kembali, tolong untuk evaluasi dan juga benerin sistem retur agar lebih ketat, karena saya disini mengalami kerugian, dimana ekspedisi merusak barang, dan saat ingin direktur kurir tidak menjemput paket saya, saya rugi material dan waktu, kenapa Tokopedia selalu bermasalah pada kurir?",1
"baru Makai sih ,tapi saya kasih bintang 5",5
"bagus ,mudah bertransaksi,, toko murah lengkap ,,mantap Tokopedia , semangat Teruss 💯💯💯💥💥🔥🔥🔥🔥💙🌈🌈",5
tiktok Tokopedia aplikasi marketing online terbodoh se asia 🤣,1
bintang 5 klo barang sudah sampai,3
membantu saat token listrik OFF jadi bisa beli di aplikasi ini,5
ok,5
"nggak ribet , ada diskon , amanah",5
MOHON JANGAN TUTUP AKU SUKA TOKOPEDIA KARENA KURIR NYA LEBIH CEPAT KETIMBANG SHOPEE DAN MENCARI SELLER nya lebih terpercaya ketimbang SHOPEE PLEASE TETAP BERTAHAN!!!,5
"Tidak melindungi buyer, makin banyak buyer yg kegocek. Pengembalian dana sulit",1
"Gak paham lagi dah, saldo tokped dari orderan di-cancel gak bisa dipake lagi, mentok di verif yg loading mulu padahal jaringan lancar jaya",1
"tokped update apanya sih, kek sebulan ada 5 kali...rentan ya aplikasi nya. rentan apany sih. aplikasi game aja sedikit update nya. hihhh gregettt gk nyaman belanja nya",3
"Ketentuan Gratis ongkirnya sekarang ga jelas sekarang, sebelumnya jelas lah min trx 10/20 rbu sekarang mah ih 😰😰 mending pindah ke shopy",1
"ada saldo di Gopay driver, mau bayar tagihan leasing, gak tercantum pembayaran via Gopay driver, adanya gopay tabungan jago. saldo gopay driver gw tfr ke gopay tabungan jago, saldo sdh pindah ke gopay tabungan jago, coba bayar via gopay tabungan jago, malah kaga ada, yg ada malah via Gopay driver. ini gimana ceritanya tokped???? gak jelas banget...!!!",1
Aplikasi toko pedia tidak bisa di-update di play store,5
"Saya Minta pertanggung jawaban dari pihak Tokopedia, Saya ada komplenan pesanan, krna saya tertipu oleh penjual, awalnya komplen berjalan dgn baik, Barang nya juga saya udh kirim balik ke P penjual, udh Chat ke agen tokopedia Status pengiriman msh berjalan, entah knpa pihak tokopedia Menutup Komplen an saya dgn meneruskan dana ke penjual? dgn alasan: Saya tidak mengirimkan balik Barang nya ke penjual? saya ini tertipu, order kulkas yg datang malah gantungan kunci",1
"selama belanja di sini saya merasa puas karena barang nya sesuai diskripsi, yg penting tingkatkan pelayanan usahakan, kasih barang sesuai pesanan jgn di buat kecewa konsumen",5
makin mahal pengguna lama bukanya murah malah mahal udah pk discon pun kalok di total sama aja gak pake discon makin malas pake aq,3
mantap pakai aplikasi tokopedia,5
"Ko bisa limit menurun dari 7 juta ke 3 juta, padahal tidak telat bayar",3
tolong kembalikan fitur beli tiket,3
semoga ini memberi dampak yang baik bagi kita semua,5
"CS NYA GA NGRESPON, TARIK DANA LAMA",1
"Males banget aplikasinya skrang ad opsi harganya kaya di shoppe, jadi bimbang dri segi kualitas barang, dan harga yang ditawarkan jujur jdi bikin mles nih tokped",5
"saat pembayaran transaksi melalui gopay, dana atau uang yang tercantum dalam apk Tokopedia hanya 200, sedangkan di apk gopay nyah tersedia dana sebesar 68.094, saya tidak bisa menyelesaikan. transaksi berupa pembelian sepatu di karenakan tertulis di apk Tokopedia sedang ada ganguan, di mohon untuk di perbaiki",4
👍👍👍,5
bagus,5
refundnya ribet!!!!,1
"proses retur barang tolong dipermudah dan dipercepat, semakin hari semakin banyak penjual yg modus penipuan, mengirim barang tidak sesuai dgn barang yg dijual.",5
ok,5
"giliran udah di install apk, gak bisa log in, Udah log in pake email dan sandi malah di suruh pake Google aja, giliran udah pake Google ada aja kendala nya yang bikin susah masuk pake alesan eror tengah jalan lagi, kadang tiba tiba masuk beranda sendiri, sengaja banget pengen ngambil uang aku, emang Tokopedia gak cukup apa, ngapain bikin apk kalo menyusahkan orang",1
kenapa ya pesanan saya di retur tapi dana nya tidak di kembalikan saya coba tanya sama penjual katanya barang belum sampe di penjual padahal sudah lebih satu bulan tolong di perbaiki jelek banget sistemnya,1
tidak bertanggung jawab terhadap status kiriman paket,1
ok,5
burik,1
teruss minta upadate..jgn sering sering lah belum 2 minggu dah minta update lagi...gmn sih tim IT nya kaleng2 amat ga tuntas tas..males jadinya,1
"Gak bisa checkout! "" Ada gangguan dirumah Tokped "". Ada aja error nya. Aplikasi Laq banget lg",1
segala sesuatu yang di perlukan sangat memenuhi kebutuhan dengan aplikasi ini,5
oke,5
8tahun lebih belanja online lewat aplikasi ini.. banyak diskon serta cashback juga point dan gratis ongkir pastinya,5
BAGUS BANGET,5
"bayak toko yang penipuan dengan modus mengirim barang berupa surat bahwa paket menyusul, jadi saya harap pada konsumen semua berhati-hati. terima kasih",1
"Pihak tokopedia lebih detail lagi untuk memberikan akses berjualan di aplikasi tokopedia, karena sekarang banyak banget toko menjual barang dengan diskon dan harga yang tidak wajar",1
tidak bisa unduh,1
Kesini cuman karena diskon pulsa,5
"makin aneh , tokopedia care slow respon dan tidak membantu sama skali , toko official nya pun sama",1
okee,4
belanja puas harga pas,5
kita liat aj nnti ya... barangnya mengecewakan atau tdk..,3
Harga berubah disaat mau check out,1
"-tolong app nya jangan sering error. -dulu bisa sembunyikan keyword dalam percarian, kenapa kok fitur itu di hapus. -tolong buat tampilan saldo mutasi gopay seperti tampilan mutasi bank. uda deh bakalan jadi fitur lengkap ga ada lawan. laporan pengeluaran bulanan aja ga ada yang bisa selain tokped.",4
aga ribet dikit buat transkasi..tpi allhamdulilah bisa,4
"dua kali pesan lewat toko yg berbeda tapi g ada respon..tulisan cuma ""diproses"" kaga ada tindak lanjut mpe batal sendiri... jadi g respek ma pelayanan para seller Tokopedia",1
cukup baik,4
"memberi ruang untuk komplain, tapi komplain tidak direspon dan maen tolak. UNINSTAL TOKOPEDIA FOREVER",1
saldo saya belum bisa di cairkan ke rekening bagaimana??dan proses penggantian nomor hp lama sekali!!!!!!!!,1
lama banget menunggu keputusan admin Tokopedia dalam menanggapi komplain saya ke pihak penjual,1
"saya order tgl 3 Agustus 2025 namun sampai tgl 15 Agustus2025 barang belum dikirim, yaitu Buku Pesan Cinta Tuhan Lewat Sakitmu. Bukti transfer ke tokopedia masih ada",5
sekarang lemah apk ini banyak toko penipuan,1
paling the best,5
"aplikasi buruk, mending shopee",1
sejak pertama install Tokopedia (pada awalnya hanya bisa di PC) sampai hari ini saya sangat terbantu ga perlu cape berburu toko offline cape makan energi banyak nunggu antrian,5
ok lah,5
"Sudah menggunakan safe mode dan belum verifikasi data diri, tetap saja ada barang-barang dewasa apaan ini?",1
"apk banyak bug, fitur tokopedia care ga guna hapus aja",1
mengangu,1
"Kalo buka Tokped sering nyebut astagfirullah. Lemotnya navigasi ke produk2, bikin pindah ke sebelah",2
mantab 👍 mohon untuk toko ya nakal segera di tindak... sangat merugikan pembeli online,5
teruntuk tokopedia ..tolonglaah jangan terus2an sruh update2 ..memory hp udh penuh. .sampe kayanya bru update brp minggu udh harus update lg 😔.diabaikan teh lama2 ga bisa buka aplikasi kalau blm diupdate .,3
"kalau kita belanja ok di Tokopedia, tapi kalau kita ada masalah dan mengajukan komplain lama x dan tidak ditangani. kita di arahkan ke chat AI namanya ""Tanya"" dan tidak ada solusi dan hanya diarahkan ke membuat tiket komplain, besok chat lg. begitu juga hanya di arahkan buat tiket tanpa ada solusi. disini juga banyak toko yg nakal/penipu dan Tokopedia sangat susah dihubungi dan susah untuk mengatasi komplain dari kita pembeli untuk mengembalikan uang kita. kapok saya gunakan transaksiTokopedia.",1
"pake fitur plus ga bisa gunakan voucher stelah 2 minggu, claim gagal terus..",1
TOLONG DONG INI SAYA KOMPLAIN LEWAT TOKOPEDIACARE TAPI SAMPE SEKARANG GA ADA BALESAN APA APA HADEUHH LAMAA DEH,1
Baru mau mencoba bismillah,5
"Kenapa selalu gangguan, untuk cek out tidak bisa. Bagaimana ingin beli cepat tapi selalu error?",1
Belanja murah dan cepat di Tokopedia,5
bagus dan terpercaya,5
"aplikasi banyak ngelag pantes tidak laku,kebanyakan bug",1
"ga bisa rufund dana, lenyap uang saya😡😡😡😡😡😡",1
"disuruh melakukan 2x pembelian, nanti dapat voucher 800k, dari awal gak dikasih tau vouchernya kaya apa, setelah 2x pembelian yang muncul voucher ampas, merasa kena scam. gw lagi gak ada duit lagi😓😓",1
bagus,5
mantap,5
barang sangat lengkap dan beragam.. sayangnya aplikasi sangat berat dan susah dijalankan.. memang harusnya dibikin Tokopedia lite sih.. ini tokopedia yg utama berat sekali buka sedikit halaman dia meloadnya sangat berat.. tolong admin please bikin versi litenya buat yang beneran cuman mau belanja doang biar ngga berat dan loading lama banget,5
"Aplikasi sering error sering sekali setiap buka produk selalu gangguan, padahal internet lancar.",1
"Mantap, tetap semangat",5
"halo kak, saya mau komplain ada seller namanya herbalaja store. pesanan lama sekali dijalan, pas dilacak ternyata paket saya balik lagi ke alamat sellernya, si herbalaja ini. saya kirim pesan dong, saya komplain nanyain pesanan. eh gak direspon kak. jadi gimana dong ini solusinya kak? pesanan udah lewat estimasi, tapi seller dengan tidak tau diri tidak membatalkan otomatis. kalau chat saya dibalas sih ok, ini songong banget pegawainya. bener2 jelek pelayanan nya si HERBALAJA STORE ini.",1
"dodolan elektronik mantap coy sumpah lengkap dan akeh diskon, tapi ganok duid e😭😭😭💔",5
Oke,5
mantap dech,5
"Tokped kalau boleh gak usah ada opsi same day, pesan same day/instant 3jam karena urgent tapi sampai happy Sunday pun barang gak tiba-tiba. Padahal udh bayar mahal😤😤",1
"dear tokopedia, salah satu kekurangan dari aplikasi ini adalah ketika penjual menghapus produk yang sudah dibeli oleh pembeli, pembeli tidak bisa melakukan refund. Ditambah saya pernah juga membeli produk berjangka, setelah setahun saya ingin melakukan klaim ulang yang seharusnya bisa dilakukan. tapi karena Penjual merubah produknya saya sudah tidak bisa menemukan riwayat transaksinya. itu sangat merugikan untuk pembeli!!",1
upload foto/video jadi membingungkan,3
aplikasinya bagus. tapi sayangnya data ku dijual di darkweb.,4
makin buruk aplikasinya,2
"makin bodoh hahahha. wajar aja aplikasi sebelah rating naik. dimana saya punya paylater limit 18,000,000, malah auto jadi 3,000,000 ongkir mahal pula 😄😄😄 .. ya sudahlah. saya trakhir aktif blanja aplikasi ini 4bulan kurang lebih .. mau blanja lagi semua ongkir dan harga dahsyat sekali.. update malah makin aneh hahaha..",1
nice,5
Lumayan membantu bagi yang kerja,5
dari dulu sudah pakai Toko ijo. belum pengen pindah yang lain,5
"marketplace penyepong seller pembeli di suruh rugi, batalin pesenan kok nunggu persetujuan seller banyak seller penipu pengembalian dana pun di persulit emang penyepong seller",1
selalu ok,5
"seller beda aplikasi, seller tiktok shop beda aplikasi... jadi ribet banget",1
bagus,5
"pencariannya sekarang ga bisa tepat sasaran ga kaya dulu presisi sesuai apa yang diketik, kalau sekarang yang muncul di pencarian random banget",1
"Mau chat cs aja susah banget TANYA aja yang jawab ga jelas banget GA NYAMBUNG cs nyantai aja karna yang jawab ROBOT,, muter muter ga jelas wkwkwkwkwkwkwk",1
"mudah mengaksesnya, sebaiknya lebih banyak jenis produk",5
mantap,5
good,5
mempermudah pembayaran,5
oke dipake utk transaksi,5
"TOLONG ILANGIN KURIR REKOMENDASI TOKOPEDIA , BIKIN LELET JADI LAMA, RESI SUSAH D LACAK STATUS PENGIRIMAN STUCK TIDAK MAJU""",1
Semenjak merger dengan TikTok banyak bug dan jadi lemot banget. Tolong diperbaiki bug nya.,1
"Ga bisa ke keranjang,setiap ke keranjang pasti selalu keluar sendiri",2
banyak promo nya dan ongkir gratisnya👍,5
mudah transaksinya,5
"Makin Kesini Makin Tidak Nyaman Bagi Para Pelaku Seller Kecil. Penyelesaiian Barang ( Dana ) Dalam Arti Jika Ada Orderan Dari Pembeli, Harus Menunggu Sampai 6 Hari Kerja. [ JIKA PEMBELI TIDAK MENGKONFIRMASI PENERIMAAN BARANG SETELAH MENERIMA BARANG ORDERAN ]. Ya Bagi Reseller Kecil Mungkin Sedikit Berat Dengan Pembaruan Sistem Terkait Penyelesaian Transaksi Ini.",4
Banyak Seller Gadungan. Berserakan. Sangat merugikan 😡😡😡😡,1
terimakasih banyak,5
sangat membantu dan mudah penggunaanya.,5
good,5
"sudah bagus bagus di pesan eh malah digabungin malah makin rumit waktu integritas sangat susah sekali, peak Tokopedia, mending di shoppe",1
loba loba teuing updet atuh siateh kehed,1
makin aneh skrg app nya,2
8.8 diskon yang palsu 3 kali order pesta 8.8 barang dibatalkan otomatis tanpa alasan di etalase nya barang masih ada seler dihubungi tidak direspon KECEWA SANGAT,1
"pencarian di tokopedia buruk di scroll keatas rekomendasi barang yang keluar itu-itu mulu..bosen bahkan ganti kata kunci yang keluar tokonya itu-itu saja,juga cashback yang berubah jadi bonus sifatnya tidak permanen 👎. tokopedia tidak seperti dulu",2
"Ternyata di tokopedia ada yg tidak jujur juga dengan jual produknya. Ketika produk tidak sesuai, ada bukti kenapa nunggu persetujuan penjual. Udah jelas penjual curang.... Sama aja bohong kalau komplen.berpihak pada yg salah, pada yg curang jual produk.",5
Trimakasih,5
"Alhamdulillah byk manfaatnya belanja online,sukses selalu Tokopedia",5
istri saya kena tipu di apk toko pedia beralih alih toko nya menyediakan harga yg sangat murah saat barang sudah sampai ternyata barang nya tidak sesuai. yg kami beli spiker bluetot TV dan sepeda listri namun yg datang bungkusan kecil yg isi nya casing hp. yg parahnya lgi uang tidak di kembalikan. dengan alasan toko sudah di tutup tokped. KECEWA,1
pengiriman lelet !,1
"kenapa riwayat transaksi barang yang sudah saya beki kadang ada , kadang tidak muncul, padahal aku sudah cari di transaksi , malah gak muncul , kadang juga malah mentok sampe 2024 , padahal aku awal beli ttokopedia 2022",1
notbadlah,5
bagus,2
memuaskan,5
mantap,5
"Barang diantar terlalu lama dan ga ada update perjalanan (Tracking) paketnya udah sampe mana aja. Costumernya service ga guna dichat ga respon, BOT jawaban mutar² bukannya kasih solusi. Cukup sekali saya pake tokped.",1
baik,4
senang berbelanja di tokopedia,5
Aplikasi belanja online yang amanah,4
👍,5
mau ajukan komplain kok lama bgt muter muter doangg apa emng gak bisa ?,1
"maaf min...bintang saya turunin... karena semakin lama toped kok semakin berat ya.... contoh: barang sudah sampai...tapi di aplikasi masih dalam perjalanan...,tapi pas buka di web...barang sudah sampai kasian yang punya toko min..yang jual barang kasian kerena ulasan barang yang di beli terlambat di karenakan menurut aplikasi barang masih dalam perjalanan,padahal barang sudah sampai. ini sangat mengganggu apabila ada komplain barang yang di beli...",3
"aplikasinya down, tidak bisa dibuka....padahal belanjaan sedeng banyak",3
terbantu. terimakasih tokopedia,5
Makin gak jelas. Dulu top no 1 sekarang jadi no 7. Barang di keranjang bisa di tambah tapi gak bisa di kurangi,1
semenjak update apk nya lemot,1
"aplikasi pro penipu...... udah lapor admin tokopedia bahwa barang gak datang, malah jawabanya muter-muter gak jelas..... saya pesan barang awal juli 2025, ampe sekarang gak datang dan gak jelas urusanya, mau datang mau kagak bodo amat udah capek asli..... sekarang aplikasi tokopedia udah saya hapus, ogah amat jadi korban kedua kali.....",1
terbantukan dg apk tokopedia,5
dustai nya,1
"Lama2 kayak ASU semenjak gabung tiktod beli token invoice gak masuk, tp pembayaran dianggap masuk UNINSTAL!!!",1
sukses selalu TOKOPEDIA,5
"makin lama makin aneh aja nih toko online. saldo ada tapi kalau kurang dari harga barang yg mau dibeli saldo gak bisa dipakai sebagian, pembayaran harus full virtual account atau lainnya. saatnya tarik saldo dan beralih ke aplikasi lain tokped & tiktod bangsad",1
No..No..,1
okk,5
Update terus tp voucher makin dikit. Kek gitu mau diminati bnyk orang. mending ke lazada/shopee dulu,1
keren dan terpercaya,5
Good,5
pake aplikasi ini jadi bisa bahasa inggris 😆,4
Ya bagus Ya bagus,5
bagus mantap,5
"tolong upgrade status shipping menjadi lebih jelas kalo bisa dengan gambar otomatis kendaraan sampai mana seperti apk sebelah, ini sangat membantu memantau dengan lebih jelas.",4
mantap...👍,5
Terima Kasih,5
good,5
"ada penyalahgunaan akun tokopedia, mengajukan komplain tapi tidak ada tanggapan dari pihak tokopedia, tolong ditindak lanjuti komplain saya",1
Mantap deh :). Terimakasih.,5
